Rk,Player,Pos,Age,Tm,G,MP,PERâ–¼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Julius Erving*,SF,24,NYA,84,3402,26.2,0.565,0.048,0.337,8.6,18.4,13.6,19.9,2.5,2.6,12.7,27.9,,10.2,7.4,17.6,0.248,,6.2,2.3,8.5,9
2,George McGinnis*,PF,24,INA,79,3193,25.1,0.519,0.09,0.389,11.4,23.1,16.9,22.6,2.9,0.9,15.7,31.7,,6.6,5,11.6,0.174,,5.5,0.8,6.4,6.7
3,Artis Gilmore*,C,25,KEN,84,3493,22.6,0.615,0.001,0.438,12.4,26.1,19.4,8.6,0.8,4.1,17.6,22,,7.9,8.3,16.2,0.222,,3.1,1.8,4.9,6.1
4,Marvin Barnes,PF,22,SSL,77,3076,20.8,0.527,0.002,0.282,13.3,25.9,19.5,12,1.4,2.3,14.9,25.4,,4.6,4,8.6,0.133,,2.1,-0.4,1.7,2.9
5,George Gervin*,SF,22,SAA,84,3113,20.4,0.529,0.033,0.277,8,14.2,11.2,9.8,2,2.4,11.8,26.5,,6.2,3.8,10,0.154,,2.6,0.3,3,3.9
6,Moses Malone*,C,19,UTS,83,3205,19.6,0.601,0.001,0.571,15.5,23.6,19.7,3.9,1.3,2.2,19.8,20.9,,5.1,5.1,10.2,0.153,,1.5,-0.2,1.4,2.7
7,Travis Grant,SF,25,SDA,53,1998,19.5,0.578,0.002,0.206,5.6,10.3,7.9,7.5,1,0.5,9.3,24.5,,5,0.6,5.6,0.134,,2.8,-1.4,1.5,1.7
8,Bobby Jones*,PF,23,DNA,84,2706,19.4,0.626,0.001,0.307,9.6,17.3,13.7,14.4,2.8,3,19,17.2,,5.5,4.7,10.2,0.181,,3.1,2.6,5.7,5.2
9,Tom Owens,C,25,TOT,82,2647,19.4,0.565,0.002,0.298,11,24.2,17.4,11.4,0.7,1.7,12.2,19.6,,5.8,2.5,8.3,0.151,,1.7,-0.6,1.2,2.2
10,Dave Robisch,C,25,DNA,84,1899,19.4,0.584,0.001,0.444,9.6,18.3,14.1,10.5,1.1,1.3,10.4,20.8,,6.1,2.4,8.5,0.214,,2.9,-0.2,2.6,2.2
11,Swen Nater,C,25,SAA,78,2713,19.3,0.575,0.001,0.269,13.7,33.1,23.5,4.8,0.7,1.7,15.3,17.4,,5.4,4.4,9.7,0.172,,2.3,-0.6,1.7,2.5
12,Mack Calvin,PG,27,DNA,74,2463,19.2,0.587,0.016,0.532,1.6,7.2,4.6,29.8,2.5,0.2,18.5,23.3,,6.5,2.5,9,0.176,,2.7,-0.3,2.3,2.7
13,Caldwell Jones,C,24,SDA,76,3004,19.2,0.533,0.009,0.27,9.9,24.9,17.3,7.3,0.9,4.1,12.2,20.2,,4.5,3.6,8.1,0.13,,1,0.6,1.6,2.7
14,Mike Green,C,23,DNA,81,2557,18.8,0.574,0.004,0.279,12.4,18.5,15.6,5.3,1.5,3.6,14.2,21.3,,4.8,3.9,8.7,0.163,,1.3,0,1.3,2.1
15,Billy Knight,SF,22,INA,80,2559,18.5,0.571,0.015,0.238,10.2,13.7,11.9,8.9,2.1,0.6,16.4,21.1,,4.7,2.4,7.1,0.133,,2.1,-0.7,1.4,2.2
16,Ron Boone,SG,28,UTS,84,3414,18.4,0.54,0.019,0.238,4.5,7.8,6.2,18.9,1.8,0.6,14.6,27.9,,5.4,2.9,8.3,0.117,,2.1,-0.2,1.9,3.4
17,Freddie Lewis,PG-SG,31,TOT,69,2790,17.3,0.54,0.054,0.342,3.9,5.6,4.7,18.3,2.4,0.1,12.7,22.2,,5.8,1.5,7.3,0.126,,1.6,-0.4,1.2,2.3
18,Ralph Simpson,SG,25,DNA,82,2863,17.3,0.545,0.009,0.293,4.2,10,7.3,21.2,2.6,0.4,16.8,24.7,,3.8,3.4,7.2,0.12,,1.4,0,1.4,2.4
19,James Silas,PG,25,SAA,82,3105,17.2,0.587,0.002,0.428,2.4,7.5,5,17.2,1.7,0.3,14.6,19.9,,7.8,2,9.8,0.152,,1.8,-0.1,1.7,2.9
20,Lee Davis,PF,29,SDA,75,1838,17,0.552,0.022,0.231,9.2,16.7,12.9,8.2,1,1.1,10.2,18.8,,3.5,1.1,4.6,0.12,,1.1,-0.8,0.4,1.1
21,Larry Kenon,PF,22,NYA,84,3165,17,0.541,0.002,0.213,9.1,19.5,14.4,5.2,1.6,0.5,12.4,20.9,,4.3,5.7,10,0.152,,0.6,-0.5,0.1,1.6
22,Dan Issel*,PF,26,KEN,83,2864,16.9,0.507,0.004,0.246,9.2,15.4,12.4,9.3,1.2,0.9,9.8,22,,4.4,4.9,9.3,0.156,,1.5,0.1,1.7,2.6
23,Louie Dampier*,PG,30,KEN,83,2879,16.8,0.544,0.08,0.167,1.5,5.7,3.7,22,1.5,1,10.2,19.5,,6.1,3.9,10.1,0.168,,2.6,1,3.5,4
24,Maurice Lucas,C,22,SSL,80,2464,16.4,0.51,0.01,0.244,11.2,22.1,16.5,15.5,1.6,1.4,16.7,19.2,,2.8,2.7,5.5,0.108,,0.6,0.4,0.9,1.8
25,Billy Paultz,C,26,NYA,80,2826,16.3,0.523,0.003,0.265,6.4,21,13.8,8.3,1,2.7,11,19.2,,3.6,5.4,9,0.152,,0.1,0.9,0.9,2.1
26,Mel Daniels*,C,30,MMS,71,1646,16.1,0.48,0,0.284,11.1,28.9,19.7,10.8,1.2,3.3,16.3,22,,-0.1,2.3,2.2,0.065,,-2.1,0.4,-1.7,0.1
27,Brian Taylor,PG,23,NYA,79,2611,16,0.549,0.05,0.213,3.4,5.6,4.5,14,3.9,0.6,13.1,17.7,,3.6,4.7,8.3,0.153,,-0.2,2.9,2.6,3
28,Collis Jones,SF,25,MMS,81,1880,15.9,0.516,0.021,0.252,7.8,12.3,10,6.1,2.7,0.9,8.1,18.8,,2.6,1.6,4.2,0.108,,-0.1,0.2,0.1,1
29,Red Robbins,C,30,TOT,57,1777,15.9,0.533,0.015,0.289,8.8,15.7,12.2,9.9,0.8,1,11.7,18.8,,2.8,1.1,3.9,0.105,,1.5,-0.7,0.7,1.3
30,Jim Eakins,PF,28,UTS,84,2566,15.8,0.578,0,0.46,8.9,15.4,12.3,8.3,1.1,1.9,16,17.5,,4.6,2.9,7.6,0.142,,0.7,0.8,1.5,2.3
31,Darnell Hillman,C,25,INA,81,2603,15.8,0.555,0.004,0.219,10.4,17.5,13.8,6.5,1.3,2.7,17.1,17.6,,3.4,2.8,6.2,0.114,,-0.5,-0.1,-0.6,0.9
32,Rich Jones,PF,28,SAA,83,3097,15.5,0.486,0.034,0.253,8,12.7,10.4,12.1,1.3,0.6,11.3,23.4,,3.8,2.5,6.3,0.098,,0.8,-1.1,-0.3,1.3
33,Bill Keller,PG,27,INA,79,1918,15.3,0.512,0.264,0.141,4.3,6.4,5.3,14.1,1.4,0.1,10.2,21,,3.6,0.8,4.4,0.109,,1.7,-1.5,0.2,1.1
34,George Carter,SF,31,MMS,82,3066,15.2,0.493,0.027,0.295,7.4,12,9.6,12.1,1.4,0.6,11.5,23.5,,2.5,1.6,4.1,0.064,,-0.2,-1.3,-1.5,0.4
35,Chuck Williams,PG,28,MMS,81,3171,15,0.545,0.025,0.27,1.9,5.3,3.5,24.9,1.7,0.3,13.7,16.4,,5.3,0.9,6.1,0.093,,0.3,-0.7,-0.3,1.3
36,Gus Gerard,SF,21,SSL,84,2702,14.8,0.49,0.005,0.229,10.2,14.1,12.1,9.6,1.1,2.2,13.4,21.8,,2.3,2,4.3,0.076,,-0.2,-1,-1.2,0.6
37,George Karl*,PG,23,SAA,82,1629,14.8,0.542,0.043,0.331,2.9,6.5,4.7,26.6,2.7,0.2,20.5,18.5,,1.9,1.5,3.4,0.1,,0,0.4,0.3,1
38,Coby Dietrick,C,26,SAA,82,1724,14.5,0.535,0.009,0.223,11.2,19,15.1,12.1,2.2,1.7,19.4,13.7,,2.1,2.5,4.5,0.126,,0.1,1.8,1.9,1.7
39,Bo Lamar,PG,23,SDA,77,2917,14.5,0.47,0.069,0.201,2.9,5.1,4,20.5,2,0.2,12.2,25.7,,0.7,0.8,1.5,0.024,,-0.2,-1.4,-1.6,0.3
40,Dave Twardzik,PG,24,VIR,76,2679,14.4,0.627,0.009,0.584,3.6,6.1,4.8,21.9,2.3,0.2,24.4,16.5,,3.8,1.3,5.1,0.091,,-0.1,0.2,0.1,1.4
41,Donnie Freeman,SG,30,SAA,77,2381,14.2,0.512,0.005,0.348,4.5,3.2,3.8,11.4,1.3,0.3,10.1,21.3,,4.1,0.9,5.1,0.102,,0.6,-1.3,-0.7,0.8
42,Stew Johnson,PF,30,TOT,81,2812,14.1,0.467,0.088,0.058,4.8,13.2,8.9,7.6,1.6,0.5,7.2,24.3,,0.4,1.7,2.1,0.035,,-1,-1.5,-2.4,-0.3
43,George Adams,SF,25,SDA,75,1605,13.9,0.526,0.005,0.138,6.8,13,9.8,10.5,1.2,1.1,13.8,18.4,,1.4,0.8,2.3,0.068,,-0.6,-0.4,-1,0.4
44,Warren Jabali,SG,28,SDA,62,1861,13.9,0.501,0.298,0.35,3.7,9.7,6.7,23.8,2.7,0.5,19.7,19.3,,0.8,1.3,2.1,0.054,,-0.4,0.5,0,1
45,Mike Jackson,PF,25,VIR,82,2023,13.9,0.584,0.004,0.407,9.2,14.5,11.8,6.4,1.1,0.5,19.9,21.3,,1.9,1.2,3.1,0.073,,-1.3,-1,-2.2,-0.1
46,David Vaughn,C,22,VIR,83,2507,13.9,0.441,0.002,0.229,11.2,26.3,18.6,8.1,1.5,2.8,15.1,20.8,,-1.8,3.4,1.6,0.031,,-1.7,0.1,-1.6,0.2
47,Byron Beck,PF,30,DNA,84,1818,13.6,0.539,0.001,0.13,7.9,12.1,10.1,7.7,1.4,0.4,8.8,18,,3.3,1.8,5.1,0.134,,-0.3,-0.6,-0.9,0.5
48,Wil Jones,SF,27,KEN,84,2689,13.6,0.512,0.005,0.199,7.5,14.9,11.3,12.8,1.9,1.4,16.2,18,,1.8,5.1,6.9,0.124,,-0.7,1.9,1.1,2.1
49,Bird Averitt,SG,22,KEN,84,2031,13,0.476,0.046,0.316,2.6,6.5,4.5,22.2,2,0.4,16.7,26.9,,-0.4,3,2.6,0.061,,-1.5,-0.2,-1.7,0.1
50,Mike Gale,PG,24,NYA,72,1624,12.7,0.503,0.047,0.185,6.2,8.5,7.4,12.5,2.5,1.6,17.3,15.8,,0.7,2.7,3.4,0.1,,-0.6,1.6,1.1,1.2
51,John Williamson,SG,23,NYA,75,1872,12.6,0.52,0.017,0.191,2.8,5.2,4,14,1.5,0.7,15.1,21,,1,2.2,3.3,0.083,,-1.5,-0.4,-2,0
52,Ted McClain,SG,28,KEN,72,1971,12.3,0.48,0.014,0.237,3.4,10.1,6.8,23.5,3.1,0.4,20.6,16.2,,0.3,3.8,4.1,0.099,,-2,2.7,0.7,1.3
53,Jan van Breda Kolff,SF,23,DNA,84,1639,11.9,0.56,0.009,0.617,8.3,14.7,11.7,12.6,1.3,1.4,21.9,12.9,,1.9,1.9,3.8,0.111,,0.2,0.7,0.9,1.2
54,Don Buse,PG,24,INA,80,2369,11.7,0.491,0.246,0.118,3.3,8,5.5,16.3,3.2,0.3,15.3,9.9,,2.4,2.2,4.6,0.094,,-1.1,2.1,0.9,1.8
55,Tim Bassett,PF,23,SDA,72,1998,11.4,0.492,0.008,0.282,10,15.5,12.7,7.1,1,0.9,14.3,13.1,,1.3,1.1,2.4,0.057,,-1.1,-0.7,-1.8,0.1
56,Kevin Joyce,SG,23,INA,81,2828,11.2,0.457,0.034,0.145,1.9,3.7,2.8,14.7,1.7,0.4,10.2,19.6,,1.8,1.2,3,0.05,,-2.2,-1,-3.2,-0.9
57,Larry Finch,SG,23,MMS,63,1888,10.7,0.509,0.089,0.224,2.3,5.5,3.9,13.6,1.3,0.2,12.1,16.4,,1.4,0.3,1.7,0.044,,-2.2,-1,-3.2,-0.6
58,Steve Jones,SG,32,SSL,69,1884,10.5,0.503,0.029,0.315,2.2,8.2,5.1,13.4,1.3,0.2,16.5,18,,0.9,0.7,1.6,0.042,,-2.1,-1.2,-3.3,-0.6
59,Jimmy O'Brien,PG,24,SDA,79,2036,10.1,0.467,0.065,0.27,2.3,6.5,4.4,25.9,2,0,24.6,14.7,,-0.5,0.6,0.2,0.004,,-2.6,-1,-3.6,-0.8
60,Fatty Taylor,PG,28,DNA,76,2018,9.9,0.481,0.036,0.294,4.7,6.8,5.8,19.7,3.8,0.4,27.3,17.1,,-1.5,2.7,1.2,0.029,,-2.6,1.4,-1.1,0.5
61,Al Smith,PG,28,UTS,80,2037,9.2,0.481,0.162,0.332,2.1,5.3,3.8,25.5,1.4,0.1,23.2,17.7,,-0.3,1.3,0.9,0.022,,-2.5,-1.1,-3.6,-0.8
62,Darrell Elston,SG,22,VIR,72,1869,9,0.447,0.029,0.201,2.6,6.6,4.6,15.7,2.1,0.3,15.9,17.1,,-1,0.8,-0.1,-0.003,,-3.2,0,-3.1,-0.5
63,Gerald Govan,PF,33,UTS,84,2791,7.7,0.434,0.003,0.174,4.7,17.3,11.3,11,1.3,0.7,23.1,12.5,,-2.3,3.2,1,0.017,,-2.8,1.1,-1.8,0.2
64,Barry Parkhill,SG,23,VIR,78,1870,6.6,0.445,0.013,0.157,1.5,6.1,3.7,17.8,1.3,0.3,20,18.4,,-2.3,0.5,-1.8,-0.047,,-4.6,-1.2,-5.8,-1.8